ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.000369959	0.00329342	6402.91
1	4.72042e-05	0.000517407	1005.92
1	0.00206905	0.0148572	28884.6
1	0.581021	0.896497	1742930
1	0.01381	0.0729493	141824
1	0.000217108	0.00204844	3982.48
1	0.000656909	0.00547072	10635.9
0.956996	1	0.999062	1942330
1	0.0191693	0.0949732	184642
1	0.000497102	0.00427841	8317.88
1	1	1	1944150
0.807118	1	0.980072	1905410
0.807118	1	0.980072	1905410
0.77614	0.177056	0.41016	797413
1	0.304646	0.66675	1296260
1	0.125021	0.384974	748448
1	0.0636875	0.239068	464784
0.917062	1	0.996461	1937270
1	0.00730524	0.0432409	84066.9
1	0.0526756	0.207732	403862
1	0.00393375	0.0257195	50002.6
1	0.586536	0.899465	1748700
1	0.00540613	0.0336274	65376.7
1	3.63082e-05	0.000407504	792.25
0.888448	0.13732	0.378659	736172
1	0.00319439	0.0215505	41897.4
1	6.60623e-06	8.5402e-05	166.034
1	0.00117869	0.00912704	17744.4
1	0.452055	0.810965	1576640
1	0.277606	0.633372	1231370
1	0.0142324	0.0747519	145329
0.85918	0.566022	0.836899	1627060
1	0.133333	0.401987	781524
1	0.127967	0.391065	760290
0.997552	0.543625	0.87415	1699480
1	0.0186907	0.0930744	180951
1	0.00140906	0.0106593	20723.3
1	1	1	1944150
1	0.0564856	0.218812	425404
0.980284	0.0123202	0.0654156	127178
1	0.00139812	0.0105874	20583.6
1	0.010101	0.0565164	109876
1	8.73975e-05	0.000904131	1757.77
0.925727	0.520548	0.833685	1620810
0.878401	0.0941176	0.288766	561404
1	1.50241e-06	2.16474e-05	42.0859
1	0.00162151	0.0120387	23405.1
1	0.181818	0.491772	956080
1	0.252492	0.600015	1166520
1	0.0129642	0.0693011	134732
1	7.76885e-06	9.91724e-05	192.806
1	0.0345004	0.150656	292898
1	0.0727793	0.263485	512254
0.98668	0.417824	0.777562	1511700
0.813265	0.22297	0.490945	954473
0.983724	1	0.999867	1943890
0.958611	0.546595	0.862624	1677070
1	8.16108e-05	0.000849858	1652.25
1	3.67252e-07	5.80891e-06	11.2934
1	0.0756471	0.270943	526755
1	0.02391	0.113177	220033
0.919202	1	0.996644	1937630
1	5.67215e-05	0.000611308	1188.48
1	0.016355	0.0836267	162583
1	0.454545	0.812935	1580470
1	0.0268398	0.123943	240963
1	0.147201	0.429231	834490
0.830304	0.00201613	0.0123751	24059.1
1	4.35588e-08	7.81843e-07	1.52002
0.860708	0.0120968	0.0579397	112644
1	0.004662	0.0296891	57720.1
1	0.00191548	0.0139021	27027.8
1	1.97333e-05	0.000233508	453.975
