ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.0434791	0.179807	349572
1	0.00438365	0.0281863	54798.5
0.999968	1.28439e-07	2.16641e-06	4.21183
1	4.06627e-05	0.000451771	878.311
1	0.00148349	0.011146	21669.4
1	3.29555e-05	0.000373067	725.3
1	0.000755059	0.00618296	12020.6
1	0.447368	0.807219	1569360
1	0.00389453	0.0255021	49579.9
1	0.00275109	0.0189708	36882.2
1	0.00561549	0.0347163	67493.7
0.948062	0.339925	0.687198	1336020
1	0.000577508	0.00488386	9494.97
1	0.0145662	0.0761674	148081
0.502532	0.2	0.331423	644338
1	0.0226282	0.108356	210661
1	1.03587e-05	0.000129253	251.287
0.880372	0.322748	0.641668	1247500
1	0.254971	0.603415	1173130
1	0.000649351	0.00541528	10528.1
1	0.0027281	0.0188352	36618.5
1	0.587098	0.899765	1749280
1	0.0292447	0.132539	257676
1	0.0995204	0.329153	639924
1	0.00106137	0.00832987	16194.5
1	0.138474	0.412247	801471
0.991323	0.543541	0.872015	1695330
1	1	1	1944150
0.981777	1	0.999833	1943830
0.981777	1	0.999833	1943830
0.989403	0.662958	0.932538	1813000
1	0.00145588	0.0109659	21319.3
1	0.00145588	0.0109659	21319.3
1	0.00671346	0.0403052	78359.4
1	0.0133769	0.0710879	138206
1	0.00433058	0.0278978	54237.6
1	0.492754	0.841498	1636000
1	0.0206398	0.100733	195841
0.63477	0.68894	0.799022	1553420
1	1	1	1944150
1	0.00231901	0.0163876	31859.9
0.9519	1	0.998824	1941870
0.919084	1	0.996634	1937610
0.885846	1	0.993221	1930970
1	0.0854678	0.295686	574858
1	4.62738e-06	6.14678e-05	119.503
1	0.0605978	0.230483	448095
1	0.315478	0.679434	1320920
0.959763	1	0.999179	1942560
0.799169	0.0219363	0.0884219	171906
0.952299	0.291847	0.633782	1232170
1	0.00199214	0.0143804	27957.6
0.779742	0.678555	0.865912	1683460
1	3.93805e-06	5.29464e-05	102.936
0.929599	0.000375688	0.0031291	6083.44
1	0.0027067	0.0187088	36372.8
1	0.000263678	0.00243659	4737.11
0.68208	0.000561319	0.00339517	6600.74
0.933539	0.647766	0.908885	1767010
0.712238	0.102894	0.264808	514826
1	1.8183e-06	2.58518e-05	50.2599
1	0.000270262	0.00249077	4842.43
1	0.000144205	0.00141959	2759.9
1	7.28376e-06	9.34496e-05	181.68
1	0.00334189	0.0223947	43538.7
1	1	1	1944150
0.835699	0.461538	0.753161	1464260
1	1	1	1944150
0.996733	1	0.999995	1944140
1	0.000528358	0.0045152	8778.24
1	0.0590178	0.226033	439443
1	0.0748434	0.268864	522713
0.90252	0.0533677	0.194257	377664
1	0.00072534	0.00596873	11604.1
1	3.24245e-05	0.000367583	714.638
1	0.0387204	0.164616	320038
1	0.069168	0.253931	493680
1	5.91997e-06	7.71797e-05	150.049
1	0.0187705	0.0933922	181569
1	0.0130748	0.0697811	135665
1	3.87038e-05	0.000431918	839.714
1	0.105855	0.343572	667956
1	1	1	1944150
0.972557	1	0.99962	1943410
1	0.000135	0.00133789	2601.05
1	0.000103876	0.00105665	2054.3
