coverage	n
1	25
2	77
3	127
4	154
5	250
6	365
7	435
8	579
9	624
10	609
11	667
12	779
13	916
14	933
15	1061
16	1230
17	1394
18	1529
19	1640
20	1913
21	2004
22	2250
23	2509
24	2766
25	3101
26	3350
27	3773
28	3935
29	4368
30	4980
31	5237
32	5710
33	6073
34	6672
35	7129
36	7584
37	8203
38	8995
39	9467
40	10301
41	10961
42	11944
43	12429
44	13328
45	14203
46	15335
47	15905
48	17075
49	17837
50	18755
51	19523
52	20439
53	21369
54	22501
55	23533
56	24083
57	24683
58	25848
59	26684
60	27399
61	28076
62	28397
63	28970
64	29882
65	30225
66	30257
67	30697
68	30757
69	30713
70	31130
71	30831
72	31186
73	31127
74	31049
75	30928
76	30413
77	30215
78	30022
79	29262
80	28897
81	28567
82	28032
83	27610
84	27107
85	25812
86	25557
87	25332
88	24615
89	23671
90	23119
91	22365
92	21823
93	21404
94	20446
95	19708
96	18996
97	18310
98	17700
99	16807
100	16438
101	15786
102	15257
103	14488
104	14024
105	13624
106	12940
107	11991
108	11332
109	11072
110	10662
111	9960
112	9609
113	9336
114	8687
115	8309
116	7806
117	7438
118	7054
119	6716
120	6375
121	6055
122	5744
123	5296
124	4969
125	4839
126	4502
127	4286
128	4201
129	3913
130	3594
131	3393
132	3233
133	3113
134	2835
135	2822
136	2726
137	2480
138	2280
139	2129
140	2019
141	1941
142	1795
143	1714
144	1606
145	1520
146	1428
147	1370
148	1397
149	1252
150	1210
151	1072
152	961
153	1003
154	965
155	836
156	839
157	815
158	781
159	679
160	654
161	636
162	605
163	554
164	547
165	522
166	512
167	517
168	479
169	419
170	420
171	383
172	350
173	376
174	381
175	351
176	353
177	319
178	319
179	312
180	339
181	315
182	297
183	286
184	248
185	289
186	255
187	259
188	269
189	297
190	258
191	259
192	243
193	216
194	225
195	231
196	226
197	189
198	197
199	211
200	211
201	185
202	214
203	194
204	171
205	175
206	174
207	163
208	145
209	156
210	146
211	137
212	162
213	141
214	153
215	149
216	171
217	157
218	160
219	161
220	163
221	141
222	129
223	129
224	123
225	151
226	139
227	105
228	102
229	115
230	114
231	120
232	130
233	120
234	115
235	115
236	115
237	106
238	123
239	106
240	103
241	112
242	118
243	105
244	110
245	102
246	127
247	91
248	91
249	108
250	100
251	118
252	80
253	91
254	86
255	87
256	76
257	67
258	78
259	80
260	78
261	87
262	71
263	61
264	56
265	73
266	82
267	62
268	52
269	58
270	60
271	43
272	39
273	54
274	51
275	37
276	58
277	44
278	42
279	38
280	46
281	44
282	49
283	61
284	51
285	36
286	32
287	30
288	34
289	51
290	31
291	38
292	40
293	33
294	37
295	35
296	31
297	32
298	29
299	34
300	26
301	35
302	19
303	25
304	21
305	22
306	20
307	21
308	15
309	20
310	19
311	16
312	23
313	16
314	18
315	20
316	15
317	18
318	16
319	14
320	16
321	22
322	21
323	20
324	20
325	18
326	23
327	14
328	9
329	14
330	18
331	8
332	15
333	16
334	11
335	3
336	6
337	13
338	9
339	6
340	11
341	16
342	7
343	9
344	6
345	4
346	10
347	5
348	9
349	5
350	9
351	6
352	8
353	5
354	3
355	3
356	1
357	4
358	3
359	5
360	4
361	3
362	4
363	3
364	2
365	7
366	4
367	5
368	6
369	4
370	11
371	5
372	7
373	9
374	2
375	6
376	2
377	2
378	2
379	3
380	7
381	6
382	3
383	2
384	1
385	0
386	4
387	5
388	0
389	6
390	5
391	2
392	2
393	1
394	1
395	0
396	0
397	0
398	0
399	1
400	0
401	1
402	0
403	1
404	0
405	0
406	0
407	3
408	2
409	1
410	2
411	0
412	1
413	1
414	0
415	1
416	1
417	0
418	0
419	0
420	1
421	0
422	0
423	1
424	1
425	0
426	0
427	0
428	1
429	0
430	1
431	3
432	1
433	5
434	3
435	0
436	5
437	1
438	0
439	1
440	1
441	1
